frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
205,205,34.0,00:00:34,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0
206,206,34.167,00:00:34,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0
207,207,34.333,00:00:34,0,0,0,0,0,0,1,1,0,4,1,3,0,0,0
208,208,34.5,00:00:34,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
209,209,34.667,00:00:34,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
210,210,34.833,00:00:34,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
211,211,35.0,00:00:35,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
212,212,35.167,00:00:35,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
213,213,35.333,00:00:35,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
214,214,35.5,00:00:35,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
215,215,35.667,00:00:35,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
216,216,35.833,00:00:35,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
217,217,36.0,00:00:36,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
218,218,36.167,00:00:36,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
219,219,36.333,00:00:36,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
220,220,36.5,00:00:36,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
221,221,36.667,00:00:36,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
222,222,36.833,00:00:36,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
223,223,37.0,00:00:37,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
224,224,37.167,00:00:37,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
225,225,37.333,00:00:37,0,0,0,0,0,0,1,1,0,4,1,3,0,0,0
226,226,37.5,00:00:37,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
227,227,37.667,00:00:37,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
228,228,37.833,00:00:37,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
229,229,38.0,00:00:38,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
230,230,38.167,00:00:38,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
231,231,38.333,00:00:38,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
232,232,38.5,00:00:38,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
233,233,38.667,00:00:38,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
234,234,38.833,00:00:38,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
235,235,39.0,00:00:39,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
236,236,39.167,00:00:39,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
237,237,39.333,00:00:39,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
238,238,39.5,00:00:39,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0
